Group,Ct
Ref,28.981
Ref,29.095
Ref,29.078
PC,29.635
PC,29.681
PC,29.636
NTC,30.328
NTC,30.441
NTC,30.343
800k,28.935
800k,28.971
800k,28.939
500k,28.766
500k,28.927
500k,28.914
300k,28.644
300k,28.963
300k,28.964
