Tube Name:,Total CD8+ Vb3+ % Viable
Ref,69.72
Ref,70.71
Ref,69.89
Stain 10min,67.7
Stain 10min,67.38
Stain 10min,66.96
Stain 25min,71.81
Stain 25min,71.24
Stain 25min,69.92
Draq7 15min,71.92
Draq7 15min,70.98
Draq7 15min,71.7
Draq7 30min,70.75
Draq7 30min,70.99
Draq7 30min,71.4
