Group,Ct
PC,27.712
PC,27.839
PC,27.81
NTC,29.274
NTC,29.284
NTC,29.219
Ref,27.401
Ref,27.263
Ref,27.127
Heat 7 min,27.225
Heat 7 min,27.508
Heat 7 min,27.665
Heat 4 min,27.313
Heat 4 min,27.365
Heat 4 min,27.355
Residual 10 ul,27.387
Residual 10 ul,NA
Residual 10 ul,28.033
