Group,Ct
PC,29.434
Ref,30.408
7min,30.082
4min,30.001
NTC,30.381
PC,30.332
Ref,30.430
7min,30.323
4min,30.463
NTC,29.614
PC,30.043
Ref,29.866
7min,29.890
4min,30.461
NTC,30.441
